primarySlug,longitude,latitude,postalCode
poule-poulette-bruxelles,4.380693,50.8375441,1040
barakat,4.3648236,50.8485461,1000
topogigio,4.3892687,50.8492029,1000
pyramides-schaerbeek,4.3651691,50.8627382,1030
le-bol-de-riz,4.3803976,50.8363823,1040
phopho,4.3565052,50.8555002,1000
tekince-kebap,4.3664397,50.8634253,1030
the-purple-rose,4.354195,50.8464893,1000
greengo,4.3711647,50.8495267,1210
kitchen-151-brussels,4.3694367,50.8354636,1050
les-4-freres-pizzeria,4.3701291,50.8488847,1210
la-ruota-1,4.3865518,50.8522368,1030
otacos-brussels,4.3673348,50.8611178,1030
china-express-ixelles,4.3698605,50.8294155,1050
pizzeria-kocak,4.3702574,50.8587785,1030
jai-ho,4.3539686,50.8541899,1000
dilmon,4.3817889,50.8509845,1210
al-solito-posto,4.3655629,50.8489774,1000
new-annapurna,4.3507374,50.8519401,1000
gatsu-gatsu,4.3542404,50.8464672,1000
cuisine-speciale,4.424885,50.8484236,1200
bagel-corner,4.373372,50.8397656,1050
snack-letang,4.3828158,50.8346899,1040
sushiya,4.416408,50.8596481,1140
indian-royal-fast-food,4.3567264,50.8554443,1000
banh-mi-express,4.383338,50.841555,1040
yummy-bowl,4.3532341,50.8453778,1000
il-colosseo-bruxelles,4.3538156,50.8539322,1000
pizza-king-bruxelles,4.3745241,50.8530623,1210
snack-georges-henri,4.4126857,50.8437401,1200
enka,4.3675059,50.8503179,1000
snack-felix-1,4.3919207,50.8508108,1030
standby,4.361052,50.8395634,1000
deas-pizza-ixelles,4.3796393,50.8297941,1050
sun-wok-pizzas,4.3893413,50.8307369,1040
my-madou,4.370338,50.849019,1210
from-be-for-you,4.3527831,50.8444327,1000
kroket,4.3705887,50.8386572,1050
sushi-me-ixelles,4.3738239,50.8336806,1050
la-pizza-bio-la-pizza-bio,4.407201,50.8424447,1200
al-colosseo-forest,4.3318564,50.8283851,1190
five-guys-bruxelles,4.3579242,50.854536,1000
da-mario-take-away,4.3906603,50.8527395,1030
koala,4.3653412,50.8520143,1000
delices-agbalo,4.3544394,50.8583853,1000
allo-beyrouth,4.3716764,50.8702946,1030
kebap-center,4.355763,50.8534188,1000
why-not,4.3518212,50.8421307,1000
fresh-spicy,4.3836209,50.8396664,1040
beyranet,4.3697417,50.8578274,1030
lucysushi,4.3588862,50.8571356,1210
cocorico-bruxelles,4.3775544,50.8497639,1210
stick-that-meat-1,4.3788394,50.8405097,1040
the-food-box-brussels,4.3518465,50.8491299,1000
gabys-sandwiches,4.3955768,50.8448002,1000
louisiana-grill-gourmet,4.3513426,50.8532027,1000
daily-pates-1,4.3776722,50.8646372,1030
rubens-grillade-1040,4.403117,50.8326438,1040
donkis-wings,4.3818125,50.8373332,1040
tekince-doner,4.3663657,50.8635753,1030
joe-la-frite,4.3413976,50.8396886,1000
trattoria-al-dente,4.3672455,50.8393684,1000
keufte,4.3744168,50.8279567,1050
pizzeria-saint-pierre-etterbeek,4.3958897,50.8367326,1040
miracle,4.3904781,50.8306611,1040
