restaurant_name,menu_item_name,price,description
Pizza Ozy,Pizza chicken barbecue,12.0,"'Barbecuesaus, ui, gegrilde kip, paprika, potje looksaus, mosselen, garnalen & calamares.'"
Pizza Ozy,Pizza tonno,12.0,"'Pizzasaus, mozzarella, tonijn, ui & olijven.'"
Pizza Ozy,Pizza Napoli,12.0,"'Pizzasaus, mozzarella, salami, ansjovis & paprika.'"
Pizza Ozy,Pizza napoletana,12.0,"'Pizzasaus, mozzarella, kappertjes.'"
Pizza Ozy,Pizza margherita,13.5,'Pizzasaus & mozzarella.'
Pizza Ozy,Pizza prosciutto,16.0,"'Pizzasaus, mozzarella & dubbele ham.'"
Pizza Ozy,Pizza capricciosa,16.0,"'Pizzasaus, mozzarella, dubbele ham & champignons.'"
Pizza Ozy,Pizza Hawaï,16.0,"'Pizzasaus, mozzarella, dubbele ham, gegrilde kip & ananas.'"
Pizza Ozy,Pizza quattro stagioni,16.0,"'Pizzasaus, mozzarella, ham, salami, champignons & paprika.'"
Pizza Ozy,Pizza quattro formaggi,16.0,"'Pizzasaus, mozzarella, gorgonzola, feta & extra jonge kaas.'"
Pizza Ozy,Pizza döner kebab,16.0,"'Pizzasaus, mozzarella, döner kebab, ui, look & potje looksaus.'"
Pizza Ozy,Pizza full option,16.0,"'Pizzasaus, mozzarella, salami, paprika, ananas, olijven, gehakt & extra mozzarella.'"
Pizza Ozy,Pizza cream dream,16.0,"'Roomsaus, look, ui & spek.'"
Pizza Ozy,Pizza bolognese de luxe,16.0,"'Bolognese saus, ui, lookgehakt & extra mozzarella.'"
Pizza Ozy,Pizza funghi,16.0,"'Pizzasaus, mozzarella, champignons.'"
Pizza Ozy,Pizza romana,16.0,"'Pizzasaus, mozzarella, artisjok & olijven.'"
Pizza Ozy,Pizza pollo,16.0,"'Pizzasaus, mozzarella, gegrilde kip, paprika & ui.'"
Pizza Ozy,Pizza americana,16.0,"'Pizzasaus, mozzarella, pikante salami & paprika.'"
Pizza Ozy,Pizza Planet,16.0,"'Pizzasaus, mozzarella, gegrilde kip, champignons, paprika & gehakt.'"
Pizza Ozy,Pizza bacon,16.0,"'Pizzasaus, mozzarella, ham, champignons, ui & spek.'"
Pizza Ozy,Pizza vegetarisch,16.0,"'Pizzasaus, mozzarella, champignons, artisjok, paprika, olijven & ui.'"
Pizza Ozy,Pizza Ozy veggie,16.0,"'Pizzasaus, mozzarella, champignons, ui, paprika, olijven & feta.'"
Pizza Ozy,Pizza green fiesta,16.0,"'Roomsaus, mozzarella, döner kebab & potje looksaus.'"
Pizza Ozy,Pizza pepperoni,16.0,"'Pizzasaus, mozzarella, dubbel pikante salami & pikante pepers.'"
Pizza Ozy,Hot pizza,16.0,"'Pizzasaus, mozzarella, pikante salami, pikante pepers, ui & gehakt.'"
Pizza Ozy,Pizza royale,16.0,"'Pizzasaus, mozzarella, salami, ui, champignons & pikante pepers.'"
Pizza Ozy,Pizza tabasco,16.0,"'Pizzasaus, mozzarella, pikante salami, ui, champignons, paprika & tabasco.'"
Pizza Ozy,Pizza Ozy merguez,16.0,"'Pizzasaus, mozzarella, ui, champignons, paprika & merguez.'"
Pizza Ozy,Pizza hamburger,16.0,"'Pizzasaus, mozzarella, hamburger, frieten, & potje looksaus.'"
Pizza Ozy,Pizza frikandel,16.0,"'Pizzasaus, mozzarella, frikandel, frieten & potje looksaus.'"
Pizza Ozy,Pizza barbecue,16.0,"'Barbecuesaus, ham, salami, gegrilde kip, gehakt & potje looksaus.'"
Pizza Ozy,Pizza chicken barbecue,16.0,"'Barbecuesaus, ui, gegrilde kip, paprika & potje looksaus mosselen, garnalen & calamares.'"
Pizza Ozy,Pizza tonno,16.0,"'Pizzasaus, mozzarella, tonijn, ui & olijven.'"
Pizza Ozy,Pizza Napoli,16.0,"'Pizzasaus, mozzarella, salami, ansjovis & paprika.'"
Pizza Ozy,Pizza napoletana,16.0,"'Pizzasaus, mozzarella, kappertjes.'"
Pizza Hut Delivery,Duo menu pan,19.9,"""4 pains à l'ail ou 4 chicken wings, 1 pan pizza medium de notre sélection, 2 canettes de soda (33cl) au choix."""
Pizza Hut Delivery,Duo menu classic,19.9,"""4 pains à l'ail ou 4 chicken wings, 1 pizza classic medium de notre sélection, 2 canettes de soda (33cl) au choix."""
Pizza Hut Delivery,Quattro menu pan,32.9,"""Cheesy bread ou 8 pains à l'ail ou 8 chicken wings, 2 pan pizzas medium de notre sélection, 1,5L pepsi / Pepsi Max/ 7up."""
Pizza Hut Delivery,Quattro menu classic,32.9,"""Cheezy bread ou 8 pains à l'ail ou 8 chicken wings + 2 médium pizzas classic dans notre selection"", '+1.5 l de pepsi/ pepsi max ou 7up.'"
Pizza Hut Delivery,The box large pan pizza,27.0,"""1 pizza large pan + 2 pains à l'ail nature + 4 chicken wings ou 6 mini-brownies + 8 chicken croqs + 1 portion american potatoes + 1 ketchup + 1 sauce bbq."""
Pizza Hut Delivery,The box medium classic pizza,27.0,"""1 pizza medium classic + 2 pains à l'ail nature + 4 chicken wings ou 6 mini-brownies + 8 chicken croqs + 1 portion american potatoes + 1 ketchup + 1 sauce bbq."""
Pizza Hut Delivery,The box cheezy crust,28.9,"""1 pizza cheezy crust + 2 pains à l'ail nature + 4 chicken wings ou 6 mini-brownies + 8 chicken croqs + 1 portion american potatoes + 1 ketchup + 1 sauce bbq."""
Pizza Hut Delivery,The box cheese & dip,28.9,"""1 pizza cheese & dip + 2 pains à l'ail nature + 4 chicken wings ou 6 mini-brownies + 8 chicken croqs + 1 portion american potatoes + 1 ketchup + 1 sauce bbq."""
Pizza Hut Delivery,Margherita pan pizza medium,13.5,"""L'originale pizza de base, avec une sauce tomate et de la mozzarella."""
Pizza Hut Delivery,Pepperoni lovers pan pizza medium,14.5,"'Beaucoup de saucisson pepperoni, mozzarella et sauce tomate.'"
Pizza Hut Delivery,Cheesam pan pizza medium,14.5,"'Jambon, mozzarella supplémentaire, sauce tomate.'"
Pizza Hut Delivery,Garden lovers pan pizza medium,15.5,"'Champignons, poivron vert, dés de tomates, oignon, mozzarella et sauce tomate.'"
Pizza Hut Delivery,Forestière pan pizza medium,15.5,"'Jambon, champignons, dés de tomates, mozzarella et sauce tomate.'"
Pizza Hut Delivery,Hawaiian pan pizza medium,18.0,"""La douceur de l'ananas accompagnée de jambon, champignons, mozzarella et sauce tomate."""
