restaurant_name,menu_item_name,price,description
Porto Fino,Pizza HawaÃ¯,9.0,"Tomaat, mozzarella, ham, ananas."
Porto Fino,Pizza chavroux,9.0,"Tomaat, mozzarella, honing, geitenkaas."
Porto Fino,Pizza lardiÃ¨re,9.0,"Tomaat, mozzarella, spek, ui, room."
Porto Fino,Pizza napolitaine,9.0,"Tomaat, mozzarella, ansjovis, kappertjes, olijven."
Porto Fino,Pizza sicilienne,9.0,"Tomaat, mozzarella, ansjovis, olijven, paprika."
Huzur Kebab,Pizza HawaÃ¯,10.0,Ananas en hesp.
Huzur Kebab,Pizza HawaÃ¯ kip,15.0,Kip en ananas.
Huzur Kebab,Pizza quatro stagioni,11.0,"Champignons, paprika, hesp en salami."
Huzur Kebab,Pizza kebab,10.5,"Paprika, ui en kebab."
Huzur Kebab,Pizza BBQ chicken,16.0,"BBQ saus, kip, ui en Mozarella."
Huzur Kebab,Pizza Margherita,12.0,
Huzur Kebab,Pizza cipolla,13.0,Ui.
Huzur Kebab,Pizza peperoni,9.0,Paprika.
Huzur Kebab,Pizza prosciutto,13.0,Hesp.
Huzur Kebab,Pizza salami,9.0,Salami.
Huzur Kebab,Pizza Bolognese ,13.0,Gekruid gehakt.
Huzur Kebab,Pizza funghi,13.0,Champignons.
Huzur Kebab,Pizza Bolognese funghi,15.0,"Champignons, gehakt."
Huzur Kebab,Pizza Bolognese deluxe,16.0,"Bolognese, ui, paprika en look."
Huzur Kebab,Pizza mafiosa,10.0,Champignons en paprika.
Huzur Kebab,Pizza Romana,15.0,Champignons en artisjok.
Huzur Kebab,Pizza Siciliana,15.0,Artisjok en  olijven.
Huzur Kebab,Pizza Capricioza,15.0,Champignons en  hesp.
Huzur Kebab,Pizza pikante salami,15.0,Pikante salami.
Huzur Kebab,Pizza Fetakaas,10.0,Fetakaas en  tomaat.
Huzur Kebab,Pizza picante,15.0,JalapeÃ±osen  paprika.
Huzur Kebab,Pizza Bolognese classic,15.5,"Gehakt, ui en  olijven."
Huzur Kebab,Pizza vegetaria,15.5,"Champignons, artisjok, paprika en maÃ¯s"
Huzur Kebab,Pizza Americaine,10.0,"Gehakt, ui en salami."
Huzur Kebab,Pizza salami en hesp,15.0,Salami en hesp.
Huzur Kebab,Pizza pollo,15.0,Kip en paprika.
Huzur Kebab,Pizza shoarma,10.0,Shoarma.
Huzur Kebab,Pizza Las Vegas,10.0,"Champignons, salami en paprika."
Huzur Kebab,Pizza sucuklu,10.0,Sucuk turkse worst en  jalapeÃ±os
