primarySlug,longitude,latitude,postalCode
caa31a02-d1a6-4b0e-8176-29ddbb2cb985,4.4013,51.21038,2000.0
5b4f855b-6ba7-41a4-84b4-ed698a1ae954,4.4024753,51.2094745,2000.0
6440565e-6094-503e-8f0b-ab6d4c7ca067,3.76404,51.01931,9820.0
076fda07-1485-423a-a293-526d47f2a9e4,4.39123,50.87218,1030.0
6f09496c-5a5d-4424-b06c-35b0b3aaf61d,3.72992,51.06918,9000.0
f485c448-0fea-4dc7-9667-e0d423ecaad2,4.43521,50.84229,1200.0
a2f60780-b3a8-4534-82be-9235cc36a7be,4.406178,51.201327,2018.0
d5dde7ec-a7fc-4472-997a-3eed6864e789,4.3375574,50.7402458,1652.0
f775eed2-a1d1-4584-a1c7-e27892bbed25,4.29496,50.82313,1070.0
c285e58f-b6b7-4630-ae92-232487dd6df4,3.727269521740279,51.056854020440625,9000.0
437606a8-2f7d-5237-8ee1-5afc805e50e1,4.24362,50.81816,1602.0
e8eb6b69-89ef-4958-9fdc-58f8431e2a2d,4.4246748,51.2184669,2060.0
3f9c8e41-a4b9-4269-b146-0f7cf6fab250,4.33645,50.7997492,1180.0
b4f1e0a4-6771-51ca-8493-1ff70668b646,4.40883,51.21299,2000.0
87715f14-5d6a-572f-bee1-c63531c7f4be,5.40493,50.93254,3590.0
6139f43a-4ab3-5c96-8492-39f836942e69,4.3849,50.84443,1040.0
c88ee61d-b633-43cf-a0ce-2f0531e06fa3,4.4142282,51.2192622,2000.0
68234987-77f9-47c3-aee0-736d2ee9d082,2.921442,51.233813,8400.0
78397dfe-31cd-5d7c-918b-04f465849c94,4.3981,50.71938,1410.0
079dc601-2f5c-56c1-b0fe-915090993114,4.39947,50.86845,1140.0
16e70263-6eed-4cf0-b3f0-2fb1605fa1df,3.722719,51.045524,9000.0
6d7a2cde-24ef-51da-9e7d-d834c7fc5227,4.47229,51.02614,2800.0
0d9c58bd-2bdd-4ea6-98d2-341cea84ccd3,4.2893,50.8079,1600.0
98956037-21ac-4577-baf0-79e2aa27633b,3.7301008,51.0592731,9000.0
99e62d5c-6f7c-5209-95a4-7c66558333f7,4.40426,51.22786,2000.0
4c9deca0-15fb-5b5f-8e29-725543252c87,4.40219,51.21015,2000.0
ed9a23e8-ccf0-4a2c-ad0f-5c32911a6485,4.80779,50.91576,3220.0
de736117-ab40-446e-94d8-5cf4eebaea69,4.42337,51.21855,2018.0
27550e76-a1a9-5d3d-85a0-0cfdc3cd200d,3.45022,50.98315,9800.0
035d5dd3-cd66-453b-a8c5-03e5a52c32f6,3.22692,51.20652,8000.0
09291f49-b744-5cf8-aea1-ee9c9cf6ed24,4.3168,50.83663,1070.0
9833dd58-1753-4ba7-86b0-7968efa0c12c,4.03466,50.93747,9300.0
1cc53eb7-016a-4db7-b986-dbb127621c72,4.50265,51.254,2900.0
61769f6b-6819-4168-ae83-a7a9b651c882,3.7245732,51.0588135,9000.0
67cd9f0c-25a1-427d-84e5-6ee37ab44dfb,4.47708,51.02621,2800.0
aafde5a6-270a-4f30-88ca-a91ad06da0ab,4.45222,50.86798,1932.0
52f5b45f-2ac8-4f2e-8a3d-eaaef6a7f489,4.23633,50.736,1500.0
87e26827-b7de-450b-9fe3-5b312e58fa86,3.71672,51.0804,9032.0
8b4a81f7-3ce8-5d66-8a6e-c4099df19f45,4.48457,51.20259,2150.0
79dd66e7-4324-4429-b50c-b0cbf25a1cdb,4.317757,50.90191,1780.0
1c614cd6-ec3c-49be-9a6a-f085f72252ea,3.24166,51.21208,8310.0
6abd5fcf-57e8-4705-91b7-86e83eb8adbd,3.7281131,51.0386453,9000.0
8b1b470f-f6dc-4ebd-85a0-588bd7f9288d,3.72497,51.05251,9000.0
b46c100c-1a4e-46ef-8b01-1fa9430f401b,4.4144943,51.2000203,2018.0
c61cdb8d-a5f4-4aed-8696-043961f4f806,4.44462,51.24433,2170.0
684953db-2a96-449c-9238-4da1ff735eb9,3.6961281,51.0635199,9000.0
e027e277-bd16-4c3a-85f2-0d98102865ac,4.397338,51.211421,2000.0
