restaurant_id,restaurant_name,rating,review_count,longitude,latitude,postalCode,platform,restaurant_id_platform_unique,standardized_city
309668,La grappa,4.1,38,4.4031109,51.2077884,2018,deliveroo,deliveroo_309668,Antwerpen
310536,Carrefour Express Ossenmarkt,4.0,500,4.4141712,51.2214035,2000,deliveroo,deliveroo_310536,Antwerpen
310546,IL Fuoco,4.3,140,3.1872996,51.1986098,8200,deliveroo,deliveroo_310546,Sint-Michiels
310609,Royal Donuts Leuven,4.1,46,4.7039958,50.8795517,3000,deliveroo,deliveroo_310609,Leuven
310689,CN Nachtwinkel,0.0,0,4.1491311,51.1696941,9100,deliveroo,deliveroo_310689,Sint-Niklaas
310792,Social,0.0,0,4.402623699999999,51.2199748,2000,deliveroo,deliveroo_310792,Antwerpen
311352,Taverne de arcades,3.6,7,4.1428308,51.1704197,9100,deliveroo,deliveroo_311352,Sint-Niklaas
311461,Kangei Sushi,4.1,42,4.142339300000001,51.1704588,9100,deliveroo,deliveroo_311461,Sint-Niklaas
311573,Twilight Sushi,4.3,225,3.7217869,51.0552302,9000,deliveroo,deliveroo_311573,Gent
311622,Queen D'Anvers,0.0,0,4.388936699999999,51.1621579,2610,deliveroo,deliveroo_311622,Wilrijk
311778,Grootmoeders Keuken,0.0,0,3.2757376,50.8026115,8500,deliveroo,deliveroo_311778,Kortrijk
311994,Nam Sam Leuven,4.2,100,4.6980056,50.8797884,3000,deliveroo,deliveroo_311994,Leuven
312029,Asia Bowl,4.4,295,4.6980056,50.8797884,3000,deliveroo,deliveroo_312029,Leuven
312033,Pizza Borsalino Heule,4.4,237,3.234242,50.84334699999999,8501,deliveroo,deliveroo_312033,Heule
312039,Bokertov Eilandje,4.5,419,4.409260499999999,51.22765709999999,2000,deliveroo,deliveroo_312039,Antwerpen
312045,Crèmerie Marie,4.6,343,3.7266813,51.0459183,9000,deliveroo,deliveroo_312045,Gent
312466,Restaurant Lebanon,0.0,0,4.3363042,50.8003638,1180,deliveroo,deliveroo_312466,Uccle
312668,Irata sushi,4.4,500,3.222095,51.20836569999999,8000,deliveroo,deliveroo_312668,Koolkerke
313401,Holy Guacamoly Antwerpen,4.3,500,4.4046743,51.2180395,2000,deliveroo,deliveroo_313401,Antwerpen
313706,Sushi Love,4.2,79,3.7244366,51.058526,9000,deliveroo,deliveroo_313706,Gent
314181,Brass Monkey STN,3.6,9,4.1427968,51.1640188,9100,deliveroo,deliveroo_314181,Sint-Niklaas
314256,Lunch Garden,3.7,94,4.7467972,50.8649486,3360,deliveroo,deliveroo_314256,Opvelp
314258,Lunch Garden,4.0,196,4.4039136,50.8682575,1140,deliveroo,deliveroo_314258,Evere
314261,Lunch Garden,4.2,171,4.4721283,50.8494343,1950,deliveroo,deliveroo_314261,Kraainem
314262,Lunch Garden,4.1,176,4.4751096,51.1935625,2150,deliveroo,deliveroo_314262,Borsbeek
314264,Lunch Garden,3.9,174,4.3087612,50.7940808,1620,deliveroo,deliveroo_314264,Drogenbos
314265,Lunch Garden,4.0,357,3.2646339,51.2082791,8310,deliveroo,deliveroo_314265,Sint-Kruis
314266,Lunch Garden,4.4,500,3.713534699999999,51.027579,9000,deliveroo,deliveroo_314266,Gent
314267,Lunch Garden,3.9,390,4.2923159,50.872043,1082,deliveroo,deliveroo_314267,Berchem-Sainte-Agathe
314268,Lunch Garden,3.6,78,4.4119133,51.2180604,2000,deliveroo,deliveroo_314268,Antwerpen
314269,Lunch Garden,4.1,27,4.4029045,50.7097007,1410,deliveroo,deliveroo_314269,Waterloo
314270,Lunch Garden,3.9,337,5.3172031,50.938738,3500,deliveroo,deliveroo_314270,Sint-Lambrechts-Herk
314271,Lunch Garden,3.8,117,4.4795405,51.0486855,2800,deliveroo,deliveroo_314271,Walem
314274,Lunch Garden,3.9,295,3.2614236,50.8458657,8500,deliveroo,deliveroo_314274,Kortrijk
314292,Panos Borgerhout,4.6,25,4.4347359,51.2149655,2140,deliveroo,deliveroo_314292,Borgerhout
314353,Poke Bowl Sint Truiden,4.4,222,5.1649907,50.8143779,3800,deliveroo,deliveroo_314353,Zepperen
314533,The Doubleyou Kitchen,4.4,18,4.400732517242432,51.21140017256014,2000,deliveroo,deliveroo_314533,Antwerpen
314727,Ramen NOBU,4.5,177,4.4641668,50.84126850000001,1150,deliveroo,deliveroo_314727,Woluwe-Saint-Pierre
314980,Dunkin,4.1,99,4.372902,50.87947,2060,deliveroo,deliveroo_314980,Antwerpen
314991,Lord of the wedges,4.3,78,4.3944146,51.2104331,2000,deliveroo,deliveroo_314991,Antwerpen
315080,Palomino,0.0,0,2.9211001,51.23435509999999,8400,deliveroo,deliveroo_315080,Zandvoorde
315304,Buurtwinkel,4.2,500,3.731859,51.0497252,9000,deliveroo,deliveroo_315304,Gent
315311,Pink Pizza ,4.2,50,5.5223881,50.9964093,3600,deliveroo,deliveroo_315311,Genk
315590,Ottoman grillhouse,4.2,66,3.7100741,51.0716921,9000,deliveroo,deliveroo_315590,Gent
315593,"SANO, No Sugar - Same Taste",4.4,28,4.415760199999999,51.2177321,2018,deliveroo,deliveroo_315593,Antwerpen
315632,Misterwok Nationaalstraat,4.2,317,4.399435299999999,51.2162186,2000,deliveroo,deliveroo_315632,Antwerpen
315712,Cbon jette,3.3,6,4.3355049,50.8792298,1090,deliveroo,deliveroo_315712,Jette
315757,Drakkar Delicatessen,0.0,0,3.72633,51.05695,9000,deliveroo,deliveroo_315757,Gent
316313,Tom Yam & Pizzas Stockel,4.4,73,4.4644718,50.840667,1150,deliveroo,deliveroo_316313,Woluwe-Saint-Pierre
316335,De stoepa,4.6,116,3.2204096,51.20033790000001,8000,deliveroo,deliveroo_316335,Koolkerke
317010,Dulcé,0.0,0,4.3909509,51.2082287,2000,deliveroo,deliveroo_317010,Antwerpen
317014,Falafel Top,4.6,167,4.709003600000001,50.8813629,3000,deliveroo,deliveroo_317014,Leuven
317417,Afghan Restaurant Mahya,3.8,13,4.425693,51.2226074,2060,deliveroo,deliveroo_317417,Antwerpen
317471,Gelato Giuliano,4.6,233,4.3968599,51.2101358,2000,deliveroo,deliveroo_317471,Antwerpen
