restaurant_id,menu_item_name,price,description,platform,restaurant_id_platform_unique
3a57429a-b764-5fd9-80a6-34a5ac356109, Pizza HawaÃ¯,12.5,Ham en ananas. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Americana,13.0,"Ham, salami en ajuin. Alle pizza's zijn op basis van tomatensaus en kaas.",ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Bolognaise,13.0,Gehakt en ajuin. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Bella Italia,13.5,Gehakt en ei. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Calzone Dichtgevouwen,14.0,"Ham, salami, champignons en gehakt. .Alle pizza's zijn op basis van tomatensaus en kaas. ",ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Calzone Shoarma,14.5,"Shoarma, paprika en ajuin. Alle pizza's zijn op basis van tomatensaus en kaas.",ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Maffioza,14.0,"Champignons, spek, ei, ajuin en paprika. Alle pizza's zijn op basis van tomatensaus en kaas.",ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Pollo,14.5,"Kip, paprika en ajuin. Alle pizza's zijn op basis van tomatensaus en kaas.",ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pollo Hawai,14.5,Kip en ananas. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Shoarma Hawai,14.5,Shoarma en ananas. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Napolitana,12.5,Anjovis en olijven. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
3a57429a-b764-5fd9-80a6-34a5ac356109,Pizza Tonno,13.0,Tonijn en ajuin. Alle pizza's zijn op basis van tomatensaus en kaas.,ubereats,ubereats_3a57429a-b764-5fd9-80a6-34a5ac356109
